get,tank1psia,task2psia,mnav,mnbv,fc1c,fc2c,fc3c
55:58:00,380,,27,5.5,5,36.5,20
55:58:05,,,26.5,5.2,,42,13
55:58:10,,,25.5,,4.7,46,8
55:58:15,,,,5,,49,5.5
55:58:25,,,25.3,4.6,4.2,51,1.8
55:58:40,,,25.3,4.1,3.5,50,2
55:59:00,,,25.3,4,3.5,50.5,2
55:59:20,,,25.3,3.9,3.5,50,1.8
55:59:40,,,25.5,3.9,3.2,48.5,1.3
55:59:55,,,25,3.8,3.2,52,0
56:00:00,370,,,,,,
56:00:58,,,24.9,3.8,,55,
56:01:00,,,,,3,,1.8
56:02:06,,,25,4,3.2,55,1.5
56:02:58,,,25,,,54,
56:03:06,,,25,,,54,
56:03:07,,,27,,,39,
56:03:38,,,27.5,4.1,3.5,36.5,0.5
56:04:16,,,27.5,4,3.5,35.5,0.5
56:07:00,360,,,,,,
56:11:00,355,,,,,,
56:21:00,337,,,,,,
56:24:30,335,,,,,,
56:27:00,327,,,,,,
56:34:00,315,,,,,,
56:37:00,310,,,,,,
56:40:00,303,,,,,,
56:44:00,297,,,,,,
56:52:00,285,,,,,,
56:58:00,275,,,,,,
56:59:00,273,,,,,,
57:00:00,270,,,,,,
57:10:00,255,,,,,,
57:12:00,243,,,,,,
57:13:00,232,,,,,,
57:25:00,195,,,,,,
57:32:00,163,,,,,,
57:36:00,145,,,,,,
57:37:30,140,,,,,,
57:40:00,130,,,,,,
57:42:00,125,,,,,,
57:46:00,108,,,,,,
57:48:00,97,,,,,,
57:50:00,97,,,,,,
57:54:00,88,,,,,,
57:59:00,70,,,,,,
58:01:00,68,,,,,,
58:04:30,66,,,,,,
58:06:00,65,,,,,,
